Time, Accuracy(%)  
1, 0.0 
2, 0.0 
3, 0.0 
4, 0.0 
5, 0.0 
6, 50.0 
7, 50.0 
8, 50.0 
9, 50.0 
10, 50.0 
11, 50.0 
12, 50.0 
13, 50.0 
14, 66.7 
15, 66.7 
16, 66.7 
17, 66.7 
18, 66.7 
19, 66.7 
20, 66.7 
21, 66.7 
22, 66.7 
23, 66.7 
24, 75.0 
25, 75.0 
26, 75.0 
27, 75.0 
28, 75.0 
29, 75.0 
30, 75.0 
31, 75.0 
32, 75.0 
33, 75.0 
34, 80.0 
35, 80.0 
36, 80.0 
37, 83.3 
38, 83.3 
39, 83.3 
40, 83.3 
41, 83.3 
42, 83.3 
43, 83.3 
44, 83.3 
45, 83.3 
46, 83.3 
47, 85.7 
48, 85.7 
49, 85.7 
50, 85.7 
51, 85.7 
52, 85.7 
53, 87.5 
54, 87.5 
55, 87.5 
56, 87.5 
57, 87.5 
58, 87.5 
59, 87.5 
60, 87.5 
61, 87.5 
62, 88.9 
63, 88.9 
64, 88.9 
65, 88.9 
66, 88.9 
67, 90.0 
68, 90.0 
69, 90.0 
70, 90.0 
71, 90.0 
72, 90.0 
73, 90.0 
74, 90.9 
75, 90.9 
76, 90.9 
77, 90.9 
78, 90.9 
79, 90.9 
80, 90.9 
81, 90.9 
82, 90.9 
83, 90.9 
84, 83.3 
85, 83.3 
86, 83.3 
87, 83.3 
88, 83.3 
89, 84.6 
90, 84.6 
91, 84.6 
92, 85.7 
93, 85.7 
94, 85.7 
95, 85.7 
96, 85.7 
97, 85.7 
98, 85.7 
99, 85.7 
100, 85.7 
101, 85.7 
102, 85.7 
103, 80.0 
104, 80.0 
105, 80.0 
106, 80.0 
107, 80.0 
108, 80.0 
109, 80.0 
110, 80.0 
111, 80.0 
112, 80.0 
113, 80.0 
114, 75.0 
115, 75.0 
116, 75.0 
117, 75.0 
118, 75.0 
119, 75.0 
120, 75.0 
121, 76.5 
122, 76.5 
123, 76.5 
124, 76.5 
125, 76.5 
126, 76.5 
127, 76.5 
128, 76.5 
129, 76.5 
130, 76.5 
131, 76.5 
132, 72.2 
133, 72.2 
134, 72.2 
135, 72.2 
136, 72.2 
137, 73.7 
138, 73.7 
139, 73.7 
140, 73.7 
141, 73.7 
142, 73.7 
143, 73.7 
144, 73.7 
145, 73.7 
146, 75.0 
147, 75.0 
148, 75.0 
149, 75.0 
150, 75.0 
151, 75.0 
152, 75.0 
153, 75.0 
154, 75.0 
155, 75.0 
156, 75.0 
157, 71.4 
158, 71.4 
159, 71.4 
160, 71.4 
161, 72.7 
162, 72.7 
163, 72.7 
164, 72.7 
165, 72.7 
166, 73.9 
167, 73.9 
168, 73.9 
169, 73.9 
170, 73.9 
171, 73.9 
172, 73.9 
173, 75.0 
174, 75.0 
175, 75.0 
176, 75.0 
177, 76.0 
178, 76.0 
179, 76.0 
180, 76.0 
181, 76.0 
182, 76.0 
183, 76.9 
184, 76.9 
185, 76.9 
186, 76.9 
187, 76.9 
188, 76.9 
189, 76.9 
190, 76.9 
191, 76.9 
192, 76.9 
193, 77.8 
194, 77.8 
195, 77.8 
196, 78.6 
197, 78.6 
198, 78.6 
199, 78.6 
200, 78.6 
201, 78.6 
202, 79.3 
203, 79.3 
204, 79.3 
205, 79.3 
206, 79.3 
207, 79.3 
208, 80.0 
209, 80.0 
210, 80.0 
211, 80.0 
212, 80.6 
213, 80.6 
214, 80.6 
215, 80.6 
216, 80.6 
217, 80.6 
218, 80.6 
219, 81.2 
220, 81.2 
221, 81.2 
222, 81.2 
223, 81.8 
224, 81.8 
225, 81.8 
226, 81.8 
227, 81.8 
228, 82.4 
229, 82.4 
230, 82.4 
231, 82.4 
232, 82.9 
233, 82.9 
234, 82.9 
235, 82.9 
236, 82.9 
237, 82.9 
238, 83.3 
239, 83.3 
240, 83.3 
241, 83.3 
242, 83.3 
243, 83.3 
244, 83.3 
245, 83.3 
246, 83.3 
247, 83.8 
248, 83.8 
249, 83.8 
250, 83.8 
251, 83.8 
252, 83.8 
253, 83.8 
254, 83.8 
255, 83.8 
256, 84.2 
257, 84.2 
258, 84.2 
259, 84.2 
260, 84.2 
261, 84.6 
262, 84.6 
263, 84.6 
264, 84.6 
265, 85.0 
266, 85.0 
267, 85.4 
268, 85.4 
269, 85.4 
270, 85.4 
271, 85.4 
272, 85.4 
273, 85.4 
274, 85.4 
275, 85.7 
276, 85.7 
277, 85.7 
278, 86.0 
279, 86.0 
280, 86.0 
281, 86.0 
282, 86.0 
283, 86.0 
284, 86.0 
285, 86.0 
286, 86.0 
287, 86.0 
288, 86.0 
289, 84.1 
290, 84.1 
291, 84.1 
292, 84.1 
293, 84.1 
294, 84.1 
295, 84.4 
296, 84.4 
297, 84.4 
298, 84.4 
299, 84.4 
300, 84.8 
301, 84.8 
302, 84.8 
303, 84.8 
304, 84.8 
305, 84.8 
306, 84.8 
307, 84.8 
308, 84.8 
309, 84.8 
310, 85.1 
311, 85.1 
312, 85.1 
313, 85.1 
314, 85.4 
315, 85.4 
316, 85.4 
317, 85.4 
318, 85.7 
319, 85.7 
320, 85.7 
321, 86.0 
322, 86.0 
323, 86.0 
324, 86.0 
325, 86.0 
326, 86.0 
