Time, Accuracy(%)  
1, 0.0 
2, 0.0 
3, 0.0 
4, 0.0 
5, 0.0 
6, 0.0 
7, 0.0 
8, 0.0 
9, 0.0 
10, 50.0 
11, 50.0 
12, 50.0 
13, 50.0 
14, 50.0 
15, 50.0 
16, 50.0 
17, 66.7 
18, 66.7 
19, 66.7 
20, 66.7 
21, 66.7 
22, 66.7 
23, 66.7 
24, 66.7 
25, 66.7 
26, 66.7 
27, 66.7 
28, 50.0 
29, 50.0 
30, 50.0 
31, 50.0 
32, 50.0 
33, 50.0 
34, 50.0 
35, 50.0 
36, 50.0 
37, 50.0 
38, 60.0 
39, 60.0 
40, 60.0 
41, 66.7 
42, 66.7 
43, 66.7 
44, 66.7 
45, 66.7 
46, 66.7 
47, 66.7 
48, 66.7 
49, 66.7 
50, 71.4 
51, 71.4 
52, 71.4 
53, 71.4 
54, 71.4 
55, 71.4 
56, 71.4 
57, 71.4 
58, 75.0 
59, 75.0 
60, 75.0 
61, 75.0 
62, 75.0 
63, 75.0 
64, 75.0 
65, 75.0 
66, 75.0 
67, 77.8 
68, 77.8 
69, 77.8 
70, 77.8 
71, 77.8 
72, 77.8 
73, 77.8 
74, 77.8 
75, 77.8 
76, 77.8 
77, 80.0 
78, 80.0 
79, 80.0 
80, 80.0 
81, 80.0 
82, 80.0 
83, 80.0 
84, 80.0 
85, 81.8 
86, 81.8 
87, 81.8 
88, 81.8 
89, 81.8 
90, 81.8 
91, 81.8 
92, 81.8 
93, 83.3 
94, 83.3 
95, 83.3 
96, 83.3 
97, 83.3 
98, 83.3 
99, 83.3 
100, 83.3 
101, 84.6 
102, 84.6 
103, 84.6 
104, 84.6 
105, 84.6 
106, 84.6 
107, 84.6 
108, 84.6 
109, 84.6 
110, 85.7 
111, 85.7 
112, 85.7 
113, 85.7 
114, 85.7 
115, 85.7 
116, 85.7 
117, 85.7 
118, 86.7 
119, 86.7 
120, 86.7 
121, 86.7 
122, 86.7 
123, 86.7 
124, 86.7 
125, 87.5 
126, 87.5 
127, 87.5 
128, 87.5 
129, 87.5 
130, 87.5 
131, 87.5 
132, 87.5 
133, 87.5 
134, 87.5 
135, 87.5 
136, 88.2 
137, 88.2 
138, 88.2 
139, 88.2 
140, 88.2 
141, 88.2 
142, 88.2 
143, 88.2 
144, 88.9 
145, 88.9 
146, 88.9 
147, 88.9 
148, 88.9 
149, 88.9 
150, 88.9 
151, 88.9 
152, 89.5 
153, 89.5 
154, 89.5 
155, 89.5 
156, 89.5 
157, 89.5 
158, 89.5 
159, 89.5 
160, 89.5 
161, 90.0 
162, 90.0 
163, 90.0 
164, 90.0 
165, 90.0 
166, 90.0 
167, 90.5 
168, 90.5 
169, 90.5 
170, 90.5 
171, 90.5 
172, 90.5 
173, 90.5 
174, 90.5 
175, 90.9 
176, 90.9 
177, 90.9 
178, 90.9 
179, 90.9 
180, 90.9 
181, 90.9 
182, 90.9 
183, 90.9 
184, 90.9 
