Time, Accuracy(%)  
1, 0.0 
2, 0.0 
3, 0.0 
4, 0.0 
5, 50.0 
6, 50.0 
7, 50.0 
8, 50.0 
9, 50.0 
10, 50.0 
11, 50.0 
12, 66.7 
13, 66.7 
14, 66.7 
15, 66.7 
16, 66.7 
17, 66.7 
18, 66.7 
19, 66.7 
20, 66.7 
21, 66.7 
22, 66.7 
23, 75.0 
24, 75.0 
25, 75.0 
26, 75.0 
27, 75.0 
28, 75.0 
29, 75.0 
30, 75.0 
31, 75.0 
32, 75.0 
33, 80.0 
34, 80.0 
35, 80.0 
36, 80.0 
37, 80.0 
38, 80.0 
39, 80.0 
40, 80.0 
41, 80.0 
42, 80.0 
43, 80.0 
44, 66.7 
45, 66.7 
46, 66.7 
47, 66.7 
48, 66.7 
49, 66.7 
50, 66.7 
51, 66.7 
52, 71.4 
53, 71.4 
54, 71.4 
55, 71.4 
56, 71.4 
57, 71.4 
58, 71.4 
59, 71.4 
60, 71.4 
61, 71.4 
62, 75.0 
63, 75.0 
64, 75.0 
65, 75.0 
66, 75.0 
67, 75.0 
68, 75.0 
69, 77.8 
70, 77.8 
71, 77.8 
72, 77.8 
73, 77.8 
74, 77.8 
75, 77.8 
76, 77.8 
77, 77.8 
78, 77.8 
79, 80.0 
80, 80.0 
81, 80.0 
82, 80.0 
83, 80.0 
84, 80.0 
85, 80.0 
86, 80.0 
87, 80.0 
88, 80.0 
89, 72.7 
90, 72.7 
91, 72.7 
92, 72.7 
93, 72.7 
94, 72.7 
95, 72.7 
96, 72.7 
97, 72.7 
98, 72.7 
99, 75.0 
100, 75.0 
101, 75.0 
102, 75.0 
103, 75.0 
104, 75.0 
105, 75.0 
106, 75.0 
107, 75.0 
108, 75.0 
109, 75.0 
110, 69.2 
111, 69.2 
112, 71.4 
113, 71.4 
114, 71.4 
115, 71.4 
116, 71.4 
117, 71.4 
118, 71.4 
119, 71.4 
120, 71.4 
121, 71.4 
122, 71.4 
123, 66.7 
124, 66.7 
125, 66.7 
126, 66.7 
127, 66.7 
128, 66.7 
129, 66.7 
130, 66.7 
131, 66.7 
132, 66.7 
133, 66.7 
134, 62.5 
135, 62.5 
136, 62.5 
137, 62.5 
138, 62.5 
139, 62.5 
140, 62.5 
141, 62.5 
142, 62.5 
143, 62.5 
144, 62.5 
145, 58.8 
146, 58.8 
147, 58.8 
148, 58.8 
149, 58.8 
150, 58.8 
151, 58.8 
152, 58.8 
153, 58.8 
154, 58.8 
155, 61.1 
156, 61.1 
157, 61.1 
158, 61.1 
159, 61.1 
160, 61.1 
161, 61.1 
162, 61.1 
163, 61.1 
164, 63.2 
165, 63.2 
166, 63.2 
167, 63.2 
168, 63.2 
169, 63.2 
170, 63.2 
171, 63.2 
172, 63.2 
173, 63.2 
174, 63.2 
175, 60.0 
176, 60.0 
177, 60.0 
178, 60.0 
179, 60.0 
180, 60.0 
181, 60.0 
182, 60.0 
183, 60.0 
184, 60.0 
