Time, Accuracy(%)  
1, 0.0 
2, 0.0 
3, 0.0 
4, 0.0 
5, 0.0 
6, 50.0 
7, 50.0 
8, 50.0 
9, 50.0 
10, 50.0 
11, 50.0 
12, 50.0 
13, 50.0 
14, 66.7 
15, 66.7 
16, 66.7 
17, 66.7 
18, 66.7 
19, 66.7 
20, 66.7 
21, 66.7 
22, 66.7 
23, 66.7 
24, 66.7 
25, 50.0 
26, 50.0 
27, 50.0 
28, 50.0 
29, 50.0 
30, 50.0 
31, 50.0 
32, 50.0 
33, 50.0 
34, 50.0 
35, 60.0 
36, 60.0 
37, 60.0 
38, 66.7 
39, 66.7 
40, 66.7 
41, 66.7 
42, 66.7 
43, 66.7 
44, 66.7 
45, 66.7 
46, 66.7 
47, 66.7 
48, 57.1 
49, 57.1 
50, 57.1 
51, 57.1 
52, 57.1 
53, 57.1 
54, 57.1 
55, 57.1 
56, 57.1 
57, 57.1 
58, 57.1 
59, 50.0 
60, 50.0 
61, 50.0 
62, 50.0 
63, 50.0 
64, 50.0 
65, 50.0 
66, 50.0 
67, 50.0 
68, 55.6 
69, 55.6 
70, 55.6 
71, 55.6 
72, 55.6 
73, 60.0 
74, 60.0 
75, 60.0 
76, 60.0 
77, 60.0 
78, 60.0 
79, 60.0 
80, 60.0 
81, 60.0 
82, 60.0 
83, 60.0 
84, 54.5 
85, 54.5 
86, 54.5 
87, 54.5 
88, 54.5 
89, 54.5 
90, 54.5 
91, 54.5 
92, 54.5 
93, 54.5 
94, 54.5 
95, 50.0 
96, 50.0 
97, 50.0 
98, 50.0 
99, 53.8 
100, 53.8 
101, 53.8 
102, 57.1 
103, 57.1 
104, 57.1 
105, 57.1 
106, 57.1 
107, 57.1 
108, 57.1 
109, 57.1 
110, 57.1 
111, 57.1 
112, 57.1 
113, 53.3 
114, 53.3 
115, 53.3 
116, 53.3 
117, 53.3 
118, 53.3 
119, 53.3 
120, 53.3 
121, 53.3 
122, 53.3 
123, 53.3 
124, 50.0 
125, 50.0 
126, 50.0 
127, 50.0 
128, 50.0 
129, 50.0 
130, 50.0 
131, 52.9 
132, 52.9 
133, 52.9 
134, 52.9 
135, 52.9 
136, 52.9 
137, 52.9 
138, 52.9 
139, 52.9 
140, 52.9 
141, 52.9 
142, 50.0 
143, 50.0 
144, 50.0 
145, 50.0 
146, 50.0 
147, 52.6 
148, 52.6 
149, 52.6 
150, 52.6 
151, 52.6 
152, 52.6 
153, 52.6 
154, 52.6 
155, 52.6 
156, 52.6 
157, 52.6 
158, 50.0 
159, 50.0 
160, 50.0 
161, 50.0 
162, 50.0 
163, 50.0 
164, 50.0 
165, 50.0 
166, 50.0 
167, 50.0 
168, 47.6 
169, 47.6 
170, 47.6 
171, 47.6 
172, 50.0 
173, 50.0 
174, 50.0 
175, 50.0 
176, 50.0 
177, 52.2 
178, 52.2 
179, 52.2 
180, 52.2 
181, 52.2 
182, 54.2 
183, 54.2 
184, 54.2 
185, 56.0 
186, 56.0 
187, 56.0 
188, 56.0 
189, 56.0 
190, 56.0 
191, 56.0 
192, 57.7 
193, 57.7 
194, 57.7 
195, 57.7 
196, 57.7 
197, 57.7 
198, 57.7 
199, 57.7 
200, 57.7 
201, 59.3 
202, 59.3 
203, 59.3 
204, 59.3 
205, 60.7 
206, 60.7 
207, 60.7 
208, 60.7 
209, 60.7 
210, 62.1 
211, 62.1 
212, 62.1 
213, 62.1 
214, 62.1 
215, 62.1 
216, 63.3 
217, 63.3 
218, 63.3 
219, 63.3 
220, 64.5 
221, 64.5 
222, 64.5 
223, 64.5 
224, 64.5 
225, 64.5 
226, 64.5 
227, 65.6 
228, 65.6 
229, 65.6 
230, 65.6 
231, 66.7 
232, 66.7 
233, 66.7 
234, 66.7 
235, 66.7 
236, 67.6 
237, 67.6 
238, 67.6 
239, 67.6 
240, 67.6 
241, 68.6 
242, 68.6 
243, 68.6 
244, 68.6 
245, 68.6 
246, 69.4 
247, 69.4 
248, 69.4 
249, 69.4 
250, 69.4 
251, 69.4 
252, 69.4 
253, 69.4 
254, 69.4 
255, 69.4 
256, 70.3 
257, 70.3 
258, 70.3 
259, 70.3 
260, 70.3 
261, 70.3 
262, 70.3 
263, 70.3 
264, 70.3 
265, 70.3 
266, 70.3 
267, 68.4 
268, 68.4 
269, 68.4 
270, 68.4 
271, 69.2 
272, 69.2 
273, 69.2 
274, 69.2 
275, 70.0 
276, 70.0 
277, 70.7 
278, 70.7 
279, 70.7 
280, 70.7 
281, 70.7 
282, 70.7 
283, 70.7 
284, 70.7 
285, 71.4 
286, 71.4 
287, 71.4 
288, 72.1 
289, 72.1 
290, 72.1 
291, 72.1 
292, 72.1 
293, 72.1 
294, 72.1 
295, 72.1 
296, 72.1 
297, 72.1 
298, 72.1 
299, 70.5 
300, 70.5 
301, 70.5 
302, 70.5 
303, 70.5 
304, 70.5 
305, 71.1 
306, 71.1 
307, 71.1 
308, 71.1 
309, 71.1 
310, 71.7 
311, 71.7 
312, 71.7 
313, 71.7 
314, 71.7 
315, 71.7 
316, 71.7 
317, 71.7 
318, 71.7 
319, 71.7 
320, 71.7 
321, 70.2 
322, 70.2 
323, 70.2 
324, 70.2 
325, 70.8 
326, 70.8 
327, 70.8 
328, 70.8 
329, 71.4 
330, 71.4 
331, 71.4 
332, 72.0 
333, 72.0 
334, 72.0 
335, 72.0 
336, 72.0 
337, 72.0 
